,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Take Me To Church,Hozier (Deluxe),Hozier,2014-05-20,241688,0,0.634,0.566,0.664,0.0,0.116,-5.303,0.0464,128.945,4
1,Cooler Than Me - Single Mix,31 Minutes to Takeoff,Mike Posner,2010-08-09,213293,78,0.179,0.768,0.82,0.0,0.689,-4.63,0.0474,129.965,4
2,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,180386,85,0.371,0.558,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,4
3,Pompeii,Bad Blood,Bastille,2013-01-01,214147,75,0.0755,0.679,0.715,0.0,0.271,-6.383,0.0407,127.435,4
4,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,2005-11-28,218093,85,0.284,0.778,0.824,0.0,0.405,-5.892,0.0707,100.024,4
5,Hall of Fame (feat. will.i.am),#3 Deluxe Version,The Script,2012-09-10,202533,82,0.0654,0.421,0.873,0.0,0.123,-4.343,0.0564,84.786,4
6,Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),Otto Knows,2016-06-03,174202,55,0.0306,0.497,0.865,0.0679,0.443,-3.19,0.0644,125.96,4
7,The Heart Wants What It Wants,The Heart Wants What It Wants,Selena Gomez,2014-01-01,227373,0,0.053,0.616,0.789,0.0,0.142,-4.874,0.0377,83.066,4
8,Dynamite,The Rokstarr Hits Collection,Taio Cruz,2010-01-01,202613,83,0.00379,0.751,0.783,0.0,0.036,-3.724,0.0859,119.975,4
9,Bumpy Ride,Bumpy Ride,Mohombi,2010-01-01,224401,0,0.047,0.709,0.854,0.0,0.0724,-4.447,0.0399,105.074,4
10,Danza Kuduro (feat. Don Omar),Danza Kuduro (feat. Don Omar),Lucenzo,2011-06-27,202346,13,0.0855,0.706,0.89,0.0,0.0465,-6.575,0.0847,130.051,4
11,Syypää sun hymyyn (feat. Yasmine Yamajako),Sokka irti,Cheek,2012-04-04,230413,46,0.171,0.472,0.815,0.0,0.265,-4.002,0.319,98.017,4
12,Whistle,Whistle,Flo Rida,2012-04-24,225000,61,0.0199,0.754,0.933,0.0,0.297,-5.786,0.0448,103.992,4
13,Girlfriend,The Best Damn Thing,Avril Lavigne,2007-04-17,216600,0,0.000738,0.56,0.959,0.000206,0.209,-2.433,0.102,163.983,4
14,Baby,Baby,Justin Bieber,2010-01-01,216520,0,0.0428,0.463,0.854,0.0,0.0922,-5.386,0.32,65.038,4
15,I Cry,Wild Ones (Deluxe),Flo Rida,2012-06-22,223800,34,0.00616,0.693,0.822,1.79e-06,0.315,-5.441,0.0439,126.035,4
16,Coconut Tree,MoveMeant (International),Mohombi,2010-01-01,218373,0,0.0486,0.687,0.855,0.0,0.233,-5.341,0.0416,130.029,4
17,One Less Lonely Girl,My Worlds (International Version),Justin Bieber,2010-01-01,229106,0,0.159,0.58,0.75,0.0,0.274,-4.421,0.194,86.938,4
18,Romeo ja Julia (feat. Sophie),Räjähdysvaara,Pikku G,2003-05-23,236200,41,0.0539,0.695,0.628,0.0,0.32,-6.498,0.0442,144.114,4
19,Don't You Worry Child - Radio Edit,Until Now (Deluxe Version),Swedish House Mafia,2012-01-01,212841,0,0.125,0.608,0.828,0.0,0.113,-3.597,0.051,128.919,4
20,Can't Hold Us (feat. Ray Dalton),The Heist,Macklemore & Ryan Lewis,2012-10-09,258342,85,0.0291,0.641,0.922,0.0,0.0862,-4.457,0.0786,146.078,4
21,She Wolf (Falling to Pieces) [feat. Sia],Nothing but the Beat 2.0,David Guetta,2011-08-24,222500,54,0.0834,0.491,0.857,7.57e-06,0.344,-2.634,0.0656,129.971,4
22,Radioactive,Night Visions (Deluxe),Imagine Dragons,2012-09-04,186813,0,0.119,0.473,0.777,7.87e-05,0.671,-3.698,0.059,136.249,4
23,Whistle,Wild Ones,Flo Rida,2012-06-22,224653,81,0.0208,0.747,0.937,0.0,0.29,-5.746,0.0453,103.976,4
24,I Need Your Love (feat. Ellie Goulding),18 Months,Calvin Harris,2012-10-29,234506,73,0.41,0.695,0.869,0.0,0.237,-5.066,0.0483,124.989,4
25,Timber (feat. Ke$ha),Global Warming: Meltdown (Deluxe Version),Pitbull,2012,204160,83,0.0295,0.581,0.963,0.0,0.139,-4.087,0.0981,129.992,4
26,Scream & Shout,#willpower,will.i.am,2013-01-01,283400,80,0.019,0.772,0.685,8.96e-05,0.131,-6.849,0.0696,130.033,4
27,Wake Me Up - Radio Edit,True,Avicii,2013-01-01,247426,0,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,124.08,4
28,Thrift Shop (feat. Wanz),The Heist,Macklemore & Ryan Lewis,2012-10-10,235613,2,0.0619,0.781,0.526,0.0,0.0457,-6.985,0.293,94.992,4
29,Play Hard (feat. Ne-Yo & Akon),Nothing but the Beat (Ultimate Edition),David Guetta,2012-12-07,201000,71,0.173,0.691,0.921,0.0,0.331,-1.702,0.0533,130.072,4
30,Superheroes,No Sound Without Silence,The Script,2014-09-15,245466,77,0.00218,0.49,0.885,0.0,0.0741,-4.121,0.0396,166.996,4
31,I Cry,Wild Ones,Flo Rida,2012-06-22,223800,63,0.00616,0.693,0.822,1.79e-06,0.315,-5.441,0.0439,126.035,4
32,Counting Stars,Native,OneRepublic,2014-01-01,257386,65,0.0654,0.663,0.705,0.0,0.117,-4.972,0.0385,122.014,4
33,Gangnam Style (강남스타일),Gangnam Style (강남스타일),PSY,2012-01-01,219493,0,0.00432,0.727,0.938,0.0,0.0911,-2.872,0.288,132.077,4
34,Feel This Moment (feat. Christina Aguilera),Global Warming,Pitbull,2012-11-16,229506,56,0.0338,0.668,0.758,0.0,0.204,-3.589,0.158,135.958,4
35,Capsize,Capsize,FRENSHIP,2016-04-15,237760,0,0.042,0.681,0.708,0.14,0.682,-6.019,0.0304,92.993,4
36,Magical,Magical,Tungevaag,2016-05-27,218539,40,0.199,0.504,0.912,0.0,0.105,-2.867,0.259,189.983,4
37,Bleeding Love,Spirit,Leona Lewis,2007,262693,69,0.192,0.635,0.647,0.0,0.154,-5.864,0.0366,104.058,4
38,Drop That Low (When I Dip),Drop That Low (When I Dip),Tujamo,2016-04-01,159999,0,0.00945,0.579,0.896,0.836,0.121,-4.132,0.373,125.672,4
39,Perfect Strangers,Perfect Strangers,Jonas Blue,2016-06-03,196613,0,0.372,0.742,0.819,0.0,0.277,-5.307,0.0487,117.986,4
40,Thinking About You,Thinking About You,Axwell /\ Ingrosso,2016-05-27,204590,0,0.044,0.69,0.811,0.0,0.205,-5.475,0.058,122.001,4
41,Please Don't Go,Please Don't Go,Joel Adams,2015-11-06,210580,74,0.0118,0.513,0.768,1.94e-05,0.294,-4.868,0.0587,84.264,4
42,Lions in the Wild,Lions in the Wild,Martin Garrix,2016-05-27,211889,0,0.00434,0.504,0.847,0.0,0.816,-6.81,0.0442,127.854,4
43,Never Be Like You,Skin,Flume,2016-05-27,233337,0,0.436,0.494,0.559,0.0,0.164,-5.445,0.0565,119.247,4
